标题,区县,所在街道,房型,面积,朝向,月租
整租·高行馨苑 2室1厅 南,浦东,高行,2室1厅1卫,81㎡,南,5200元/月
整租·中远两湾城 1室2厅 南,普陀,中远两湾城,1室2厅1卫,77㎡,南,7500元/月
整租·海上国际 1室0厅 东北,杨浦,鞍山,1室0厅1卫,34㎡,东北,5800元/月
整租·浣纱四村 1室1厅 南,杨浦,黄兴公园,1室1厅1卫,66㎡,南,4500元/月
整租·黄山新村 2室1厅 南,浦东,金杨,2室1厅1卫,64㎡,南,5500元/月
整租·红馥里 3室1厅 南,虹口,江湾镇,3室1厅1卫,101㎡,南,7500元/月
整租·红馥里 2室1厅 南/北,虹口,江湾镇,2室1厅1卫,77㎡,南 北,6800元/月
整租·鞍山一村第三小区 1室1厅 南,杨浦,鞍山,1室1厅1卫,40㎡,南,4600元/月
整租·桃浦六村绿春苑 1室0厅 南,普陀,桃浦,1室0厅1卫,34㎡,南,2800元/月
整租·中环和润苑 2室1厅 南,杨浦,周家嘴路,2室1厅1卫,68㎡,南,5200元/月
整租·中福花苑 1室2厅 北,黄浦,蓬莱公园,1室2厅1卫,45㎡,北,6800元/月
整租·亿润苑 2室2厅 南/北,闸北,阳城,2室2厅1卫,106㎡,南 北,7500元/月
整租·金杨七街坊 2室1厅 南,浦东,金杨,2室1厅1卫,61㎡,南,4800元/月
整租·祝安苑 1室1厅 南,浦东,祝桥,1室1厅1卫,53㎡,南,2000元/月
整租·明园森林都市 2室2厅 南/北,闸北,大宁,2室2厅1卫,95㎡,南 北,7300元/月
整租·上海康城 2室2厅 南,闵行,莘庄,2室2厅2卫,90㎡,南,3400元/月
整租·美岸栖庭(公寓) 2室1厅 南,宝山,高境,2室1厅1卫,67㎡,南,5500元/月
整租·紫竹小区 1室1厅 南,长宁,北新泾,1室1厅1卫,40㎡,南,5300元/月
整租·王家堂小区 1室0厅 南,徐汇,徐家汇,1室0厅1卫,39㎡,南,4000元/月
整租·虹一小区 1室0厅 南,长宁,虹桥,1室0厅1卫,29㎡,南,4800元/月
整租·宜川四村 1室1厅 南,普陀,甘泉宜川,1室1厅1卫,37㎡,南,4100元/月
整租·宜川四村 1室0厅 北,普陀,甘泉宜川,1室0厅1卫,20㎡,北,2600元/月
整租·施湾家园 2室2厅 南/北,浦东,川沙,2室2厅1卫,78㎡,南 北,2800元/月
整租·田林十四村 1室1厅 南,徐汇,田林,1室1厅1卫,33㎡,南,4000元/月
整租·日晖二村 1室2厅 南,徐汇,斜土路,1室2厅1卫,50㎡,南,5200元/月
整租·徐汇长春苑 2室1厅 南,徐汇,田林,2室1厅1卫,83㎡,南,7800元/月
整租·金杨六街坊 1室1厅 南,浦东,金杨,1室1厅1卫,42㎡,南,4400元/月
整租·丰三小区 1室1厅 南,徐汇,龙华,1室1厅1卫,43㎡,南,4500元/月
整租·临汾名城 2室2厅 南,闸北,彭浦,2室2厅1卫,97㎡,南,6500元/月
整租·柳营路1025弄 2室1厅 南/北,闸北,大宁,2室1厅1卫,50㎡,南 北,5300元/月
整租·龙盛佳苑 1室2厅 南,闸北,阳城,1室2厅1卫,61㎡,南,6500元/月
整租·由由民丰苑 3室2厅 南,浦东,北蔡,3室2厅2卫,135㎡,南,7800元/月
整租·龙盛佳苑 1室1厅 南,闸北,阳城,1室1厅1卫,47㎡,南,5300元/月
整租·黑山小区 2室0厅 南,杨浦,中原,2室0厅1卫,38㎡,南,4900元/月
整租·昌里花园 1室1厅 南,浦东,世博,1室1厅1卫,74㎡,南,6800元/月
整租·洛川中路901弄 2室1厅 南,闸北,大宁,2室1厅1卫,51㎡,南,6200元/月
整租·新领地 1室1厅 北,浦东,花木,1室1厅1卫,47㎡,北,5300元/月
