职位名称,薪资,工作经验,更新时间,学历要求,岗位评分,福利,公司名称,公司规模,公司类型,岗位链接,公司链接,公司地址,职位详情
python开发,12K-18K,3-5年,2019-08-14 10:19:06,大专,459,"加班补助,弹性工作,定期体检,员工旅游,节日福利",苏州博纳讯动软件有限公司,100-499人,民营,https://jobs.zhaopin.com/CC581369222J00372736903.htm,https://company.zhaopin.com/CZ581369220.htm,,
高级Python开发工程师,15K-25K,5-10年,2019-08-19 18:06:27,本科,459,"五险一金,年底双薪,餐补,带薪年假,节日福利",上海财联社金融科技有限公司,100-499人,国企,https://jobs.zhaopin.com/CC585544520J00357064905.htm,https://company.zhaopin.com/CZ585544520.htm,徐汇区虹桥路3号港汇中心2座16楼,基本要求:1. 有Python开发经验；2. 计算机相关专业本科及以上学历，5年以上工作经验；3. 熟悉Unix/Linux系统，Shell编程；4. 熟悉常用数据结构和算法；5. 熟悉MySQL、mongodb数据库；6. 熟悉Redis及常用队列中间件，有相关实践经验；7. 熟悉面向对象编程，具备架构能力8. 具备的良好代码规范，有高性能大容量系统架构设计和推进实施经验，能有效协调各方资源；有大数据开发经验者优先
Python数据分析师,6K-10K,不限,2019-08-14 13:15:01,大专,458,"五险一金,绩效奖金,交通补助,餐补,带薪年假",上海华依科技集团股份有限公司,100-499人,民营,https://jobs.zhaopin.com/CC531791680J00417173601.htm,https://company.zhaopin.com/CZ531791680.htm,,
Python开发工程师（上海）,10K-15K,1-3年,2019-08-19 10:17:24,大专,457,"五险一金,补充医疗保险,定期体检,年底双薪,绩效奖金",深圳市芒柠科技有限公司,20-99人,民营,https://jobs.zhaopin.com/466965980250056.htm,https://company.zhaopin.com/CZ466965980.htm,,
Python 后端开发工程师,15K-20K,5-10年,2019-08-12 09:33:05,本科,457,"五险一金,年底双薪,全勤奖,餐补,交通补助",铨融(苏州)医药科技开发有限公司,20-99人,民营,https://jobs.zhaopin.com/CZ398526280J00398468505.htm,https://company.zhaopin.com/CZ398526280.htm,,
Python讲师,20K-30K,3-5年,2019-08-14 13:03:47,大专,456,"五险一金,绩效奖金,交通补助,带薪年假,弹性工作",北京千锋互联科技有限公司,500-999人,民营,https://jobs.zhaopin.com/390261416251835.htm,https://company.zhaopin.com/CZ390261410.htm,,
自动化实施（shell/python）,8K-10K,1-3年,2019-08-16 13:23:43,本科,456,"节日福利,定期体检,补充医疗保险,交通补助,通讯补助",北京中亦安图科技股份有限公司,100-499人,民营,https://jobs.zhaopin.com/CC148106168J00040895811.htm,https://company.zhaopin.com/CZ148106160.htm,,
python开发工程师,10K-15K,3-5年,2019-08-13 16:31:51,大专,456,"五险一金,带薪年假,通讯补助,员工旅游,绩效奖金",上海驰擎商务咨询有限公司,20人以下,民营,https://jobs.zhaopin.com/CZ630085630J00275117804.htm,https://company.zhaopin.com/CZ630085630.htm,,
Python开发工程师（证券）,薪资面议,1-3年,2019-08-19 09:58:14,本科,456,"大平台,专业团队,互联网金融,节日福利",东方财富信息股份有限公司,1000-9999人,上市公司,https://jobs.zhaopin.com/CC152251416J00288775606.htm,http://special.zhaopin.com/sh/2013/dfcf011026,,
Python开发工程师,10K-15K,1-3年,2019-08-19 18:06:27,本科,455,"五险一金,年底双薪,餐补,带薪年假,节日福利",上海财联社金融科技有限公司,100-499人,国企,https://jobs.zhaopin.com/CC585544520J00357061905.htm,https://company.zhaopin.com/CZ585544520.htm,,
